"","film","revenue","adult","budget","language","popularity","runtime","vote.average","vote.count","id","tagline","release.date","genres"
"1866","Ghost Story",0,"False",0,"en",4.98,110,"6.3",68,24634,"The Time Has Come to Tell the Tale","18/12/1981","[18, 27, 53]"
"1867","Coup de Torchon",0,"False",0,"fr",4.165,128,"7.1",66,35797,"","04/11/1981","[35, 80, 18]"
"1868","Knightriders",0,"False",3000000,"en",3.437,145,"6.4",42,22167,"The Games...The Romance...The Spirit...Camelot is a state of mind.","10/04/1981","[28, 12, 18]"
"1869","Sharky's Machine",35610100,"False",0,"en",6.301,122,"6.1",47,14664,"If you mess with a cop like Sharky, you better be very tough . . . or very beautiful.","18/12/1981","[28, 80, 18, 53]"
"1870","The Secret of the Third Planet",0,"False",0,"ru",4.173,50,"7",50,49802,"","01/01/1981","[12, 16, 878]"
"1871","The Wave",0,"False",0,"en",3.257,44,"7.3",53,31074,"","04/10/1981","[18, 10751]"
"1872","The Birth",0,"False",0,"en",3.189,96,"10",1,397770,"","16/05/1981","[99]"
"1873","The Last Shark",0,"False",0,"en",4.036,88,"5.4",46,40383,"You're what's for dinner.","02/04/1981","[27]"
"1874","The Hitch Hikers Guide to the Galaxy",0,"False",0,"en",3.812,199,"7.3",72,64353,"Don't Panic","09/02/1981","[12, 35, 878]"
"1875","The Incredible Shrinking Woman",0,"False",0,"en",3.988,88,"5.1",53,12472,"Lily Tomlin in an epic comedy (Give or take and inch)","30/01/1981","[35, 10751, 878]"
"1876","Roadgames",1e+05,"False",1750000,"en",4.383,101,"6.5",58,43089,"On the world's loneliest highway it's not a game - it's murder!","26/06/1981","[27, 9648, 53]"
"1877","Two Queens and One Consort",0,"False",0,"nl",4.598,102,"6.6",7,80992,"","01/10/1981","[18]"
"1878","Graduation Day",0,"False",0,"en",4.292,96,"5.1",47,27420,"Some kids are dying to graduate...","01/05/1981","[27]"
"1879","True Confessions",0,"False",0,"en",4.676,108,"6",60,32077,"Two brothers out to save everyone else.  But they couldn't save each other.","25/09/1981","[80, 18]"
"1880","Polyester",0,"False",300000,"en",4.172,86,"6.7",60,14269,"Filmed in ODORAMA","29/05/1981","[35]"
"1881","Continental Divide",15578237,"False",0,"en",3.983,103,"6.2",54,26560,"When they met they heard bells. And that was just round one.","18/09/1981","[35, 10749]"
"1882","Just Before Dawn",0,"False",0,"en",5.722,90,"6.5",50,39982,"Will Anyone Survive Those Hours Just Before Dawn?","14/10/1981","[27, 53]"
