"","film","revenue","adult","budget","language","popularity","runtime","vote.average","vote.count","id","tagline","release.date","genres"
"1","The Aristocats",55675257,"False",4000000,"en",13.901,78,"7.3",3164,10112,"A tune-filled animated extravaganza.","23/12/1970","[12, 16, 35, 10751]"
"2","The Party at Kitty and Stud's",0,"False",5000,"en",8.94,71,"2.9",35,4255,"","10/02/1970","[35, 18]"
"3","They Call Me Trinity",0,"False",0,"it",9.378,106,"7.6",671,9394,"Look out! Here comes Trinity...","22/12/1970","[28, 35, 37]"
"4","Kelly's Heroes",5200000,"False",4000000,"en",12.342,144,"7.4",345,11589,"They set out to rob a bank... and damn near won a war instead!","22/06/1970","[12, 35, 10752]"
"5","Patton",89800000,"False",12000000,"en",13.077,172,"7.5",585,11202,"The Rebel Warrior","25/01/1970","[18, 36, 10752]"
"6","Two Mules for Sister Sara",5050000,"False",0,"en",9.132,114,"7",275,11916,"CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!","14/06/1970","[37]"
"7","Beneath the Planet of the Apes",18999718,"False",3000000,"en",11.623,95,"6.2",646,1685,"Now civilization's final battle between man and ape is about to begin.","01/05/1970","[12, 878, 9648]"
"8","Little Big Man",31559552,"False",15000000,"en",9.615,139,"7.7",275,11040,"Either the most neglected hero in history or a liar of insane proportion!","14/12/1970","[12, 35, 18, 37]"
"9","M*A*S*H",81600000,"False",3500000,"en",11.8,116,"7.1",486,651,"M*A*S*H Gives A D*A*M*N.","24/01/1970","[35, 18, 10752]"
"10","Catch-22",24911670,"False",18000000,"en",7.771,121,"6.9",147,10364,"","24/06/1970","[35, 18, 10752]"
"11","Investigation of a Citizen Above Suspicion",0,"False",0,"it",8.239,115,"8.3",300,26451,"When you're a big man in the big city, can you get away with murder?","13/11/1970","[80, 18]"
"12","Chisum",0,"False",6000000,"en",9.036,111,"6.8",86,38765,"THE LEGEND - John Wayne is 'Chisum'","23/07/1970","[37]"
"13","Love Story",136400000,"False",2200000,"en",9.594,99,"6.7",318,9062,"Love means never having to say you're sorry","16/12/1970","[18, 10749]"
"14","El Topo",0,"False",400000,"es",7.605,125,"7.3",276,13041,"The Definitive Cult Spaghetti Western","18/12/1970","[28, 12, 18, 37]"
"15","The Conformist",0,"False",750000,"it",10.006,108,"7.8",298,8416,"A dazzling movie","21/10/1970","[18]"
"16","Valerie and Her Week of Wonders",0,"False",0,"cs",7.572,73,"6.9",106,46315,"","10/10/1970","[14, 12, 18]"
"17","Airport",100489151,"False",10000000,"en",9.058,137,"6.5",169,10671,"The #1 novel of the year - now a motion picture!","05/03/1970","[28, 18, 53]"
"18","Le Cercle Rouge",0,"False",0,"fr",7.307,140,"7.7",277,11657,"No place to hide . . . nowhere to run . . .","19/10/1970","[18, 53, 80]"
"19","Five Easy Pieces",18099091,"False",0,"en",9.701,98,"7.3",228,26617,"He rode the fast lane on the road to nowhere.","12/09/1970","[18]"
"20","Tora! Tora! Tora!",29548291,"False",25485000,"en",8.226,144,"7.1",251,11165,"The incredible attack on Pearl Harbor.","26/01/1970","[18, 36, 10752]"
"21","Woodstock",34505110,"False",600000,"en",6.523,225,"7.5",135,9459,"3 days of peace, music...and love.","26/03/1970","[99, 36, 10402]"
"22","The Wild Child",0,"False",0,"fr",5.51,83,"7.1",151,1627,"At last an adult film to which you can take your children","26/02/1970","[18]"
"23","The Private Life of Sherlock Holmes",1500000,"False",10000000,"en",6.509,125,"7",135,5185,"The Private Life of Sherlock Holmes. Anything But Elementary.","29/10/1970","[12, 35, 80, 9648, 53, 10749]"
"24","Kes",0,"False",0,"en",6.208,110,"7.5",196,13384,"They beat him.  They deprived him. they ridiculed him. They broke his heart but they couldn't break his spirit.","03/04/1970","[18]"
"25","Hercules in New York",0,"False",0,"en",7.005,91,"3.8",124,5227,"","23/02/1970","[28, 12, 35, 14, 878]"
"26","Taste the Blood of Dracula",0,"False",0,"en",6.051,95,"6.1",69,29748,"DRINK A PINT OF BLOOD A DAY","07/05/1970","[27]"
"27","The Bird with the Crystal Plumage",0,"False",500000,"it",7.174,96,"7.2",303,20345,"A stunning portrait in psycho-terror!","27/02/1970","[27, 9648, 53]"
"28","Le Boucher",0,"False",0,"fr",5.321,90,"7",95,2912,"","27/02/1970","[18, 53]"
"29","Gimme Shelter",252570,"False",0,"en",6.373,90,"7.6",72,132,"The music that thrilled the world ... and the killing that stunned it!","06/12/1970","[99, 10402]"
"30","Zabriskie Point",1e+06,"False",7000000,"en",6.704,113,"7.2",202,2998,"How you get there depends on where you're at.","09/02/1970","[18, 10749]"
"31","Soldier Blue",0,"False",0,"en",7.223,112,"7.3",85,14384,"The most savage film in history!","12/08/1970","[37, 28, 18]"
"32","Waterloo",3052000,"False",25000000,"en",5.328,128,"7.2",72,33157,"","26/10/1970","[28, 18, 36]"
"33","The Ballad of Cable Hogue",5e+06,"False",3716946,"en",5.954,121,"7.1",93,23330,"Cable Hogue says … “Do unto others … as you would have others do unto you.”","13/05/1970","[28, 35, 37]"
"34","Rio Lobo",0,"False",0,"en",8.411,114,"6.3",101,26593,"Give 'Em Hell, John.","01/04/1970","[37]"
"35","Beyond the Valley of the Dolls",4e+07,"False",2090000,"en",6.408,109,"6.5",101,5722,"This Is Not A Sequel. There Has Never Been Anything Like It!","17/07/1970","[35, 18, 53]"
"36","The Vampire Lovers",0,"False",0,"en",6.256,91,"6.5",70,31952,"An erotic nightmare of tormented lusts that throb in headless, undead bodies!","04/10/1970","[27]"
"37","Scars of Dracula",0,"False",478375,"en",5.637,96,"6.1",58,34479,"The mark of death remains forever!","08/11/1970","[27]"
"38","Colossus: The Forbin Project",0,"False",0,"en",5.639,100,"7",102,14801,"This is the dawning of the Age of Colossus (where peace is compulsory... freedom is forbidden... and Man's greatest invention could be Man's greatest mistake).","08/04/1970","[878, 53]"
"39","The Garden of the Finzi-Continis",0,"False",0,"it",5.883,95,"6.9",109,4789,"","04/12/1970","[18]"
"40","Claire's Knee",0,"False",0,"fr",6.548,105,"7.4",89,2860,"","11/12/1970","[18, 10749]"
"41","The Gendarme Takes Off",0,"False",0,"fr",5.877,90,"6.4",254,11913,"","28/10/1970","[35]"
"42","Santa Claus Is Comin' to Town",0,"False",0,"en",5.376,48,"7.2",106,13400,"You better watch out!","14/12/1970","[16, 14, 10751, 10770]"
"43","Performance",0,"False",0,"en",6.053,106,"7.1",82,26606,"See them all in a film about fantasy. And reality. Vice. And versa.","03/08/1970","[80, 18, 10402]"
"44","Borsalino",0,"False",0,"fr",6.19,126,"7",95,25251,"","19/05/1970","[80, 18]"
"45","Scream and Scream Again",0,"False",0,"en",6.059,95,"5.4",49,42594,"TRIPLE DISTILLED HORROR... as powerful as a vat of boiling ACID!","13/02/1970","[80, 27]"
"46","Scrooge",0,"False",0,"en",4.34,113,"6.9",59,13765,"What the Dickens have they done to Scrooge?","05/11/1970","[18, 14, 10751]"
"47","There Was a Crooked Man...",0,"False",0,"en",5.097,126,"6.9",51,27172,"Of All the Crooked Men in All the Crooked West One of Them Was the Best!","18/09/1970","[37]"
"48","Donkey Skin",0,"False",0,"fr",7.284,90,"7.3",219,5590,"","20/12/1970","[35, 18, 14, 10402, 10749]"
"49","A Man Called Horse",0,"False",0,"en",7.167,114,"6.4",92,14676,"A man called","01/05/1970","[28, 12, 18, 37]"
"50","Too Late the Hero",0,"False",6250000,"en",4.368,145,"6.4",37,31935,"War. It's a dying business.","20/05/1970","[18, 28, 10752]"
"51","Bed and Board",0,"False",0,"fr",5.188,97,"7.4",83,258,"First Truffaut gave us ""The 400 Blows."" Then ""Stolen Kisses""... and now ""Bed and Board.""","01/09/1970","[35, 18, 10749]"
"52","The Twelve Chairs",0,"False",0,"en",5.114,94,"6.4",54,24918,"A wild and hilarious chase for a fortune in jewels.","28/10/1970","[35]"
"53","Let It Be",0,"False",0,"en",3.862,81,"7.6",46,20556,"","13/05/1970","[99, 10402]"
"54","Tristana",0,"False",0,"es",6.729,95,"7.4",100,35838,"Somewhere between the innocent girl and the not so innocent mistress is the bizarre, sensuous story of Tristana","29/03/1970","[18]"
"55","They Call Me Mister Tibbs!",0,"False",0,"en",4.224,108,"6.1",25,34732,"The last time Virgil Tibbs had a day like this was ""In the Heat of the Night""","10/07/1970","[28, 18, 53]"
"56","Sunflower",0,"False",0,"it",5.813,109,"7.8",64,1863,"","14/03/1970","[18, 10752]"
"57","The Grandmother",0,"False",0,"en",4.475,34,"6.8",68,44510,"To live is to die.","01/01/1970","[18, 27]"
"58","Brancaleone alle crociate",0,"False",0,"it",4.381,116,"7.2",82,49321,"","08/03/1970","[35]"
"59","When Dinosaurs Ruled the Earth",0,"False",0,"en",5.85,100,"5",31,35002,"Enter an age of unknown terrors, pagan worship and virgin sacrifice...","25/10/1970","[12, 14, 878]"
"60","The Things of Life",0,"False",0,"fr",5.202,89,"7",60,3423,"","13/03/1970","[18, 10749]"
"61","And Soon the Darkness",0,"False",0,"en",3.438,99,"6.8",43,51992,"Remember the way Hitchcock kept you on the edge of your seat...?","10/09/1970","[27, 9648, 53]"
"62","Pippi in the South Seas",0,"False",0,"sv",4.299,86,"6.9",47,12127,"","24/01/1970","[12, 10751]"
"63","Count Dracula",0,"False",0,"en",4.573,98,"6",40,5620,"","03/04/1970","[27]"
"64","Daddy, Darling",0,"False",0,"en",3.522,95,"5.8",5,144625,"This is Katja. She is 19. She is untouched. She thinks it's time she did something about it!","01/11/1970","[18]"
"65","Ryan's Daughter",0,"False",0,"en",3.257,206,"7.4",55,38953,"A story of love...set against the violence of rebellion","09/12/1970","[18, 10749]"
"66","The Phantom Tollbooth",0,"False",0,"en",3.147,90,"6.4",35,28476,"It's an Alphabeautiful Mathemagical New Musical Movie!","07/11/1970","[12, 16, 14]"
"67","Wanda",0,"False",0,"en",3.577,102,"7",41,80560,"","01/09/1970","[18, 80]"
"68","Bloody Mama",0,"False",0,"en",2.675,90,"5.6",36,31581,"You gotta' believe... You gotta' have faith... But first, you gotta' get rid of the witnesses!","24/03/1970","[28, 18, 53, 80]"
"69","Cromwell",0,"False",8000000,"en",4.803,139,"6.6",42,31675,"","16/09/1970","[18, 36]"
"70","A Swedish Love Story",0,"False",0,"sv",3.177,115,"7.4",53,31304,"Moments of truth","24/04/1970","[18, 10749]"
"71","The Dunwich Horror",0,"False",0,"en",3.537,90,"5.3",40,65891,"A few years ago in Dunwich a half-witted girl bore illegitimate twins. One of them was almost human!","14/01/1970","[18, 14, 27, 9648, 53]"
"72","The Honeymoon Killers",0,"False",0,"en",2.876,108,"7",43,10237,"Love is a bitch ... called Martha.","04/02/1970","[80, 18, 53]"
"73","The One Man Band",0,"False",0,"fr",4.21,85,"6.2",71,36179,"","18/09/1970","[35, 10402]"
"74","Cleopatra",0,"False",0,"ja",4.188,112,"6",12,84488,"","15/09/1970","[16, 35, 14, 36, 878]"
"75","The Cheyenne Social Club",0,"False",0,"en",4.416,103,"6.3",28,28303,"They made their own laws at ""The Cheyenne Social Club"" ... no wonder everyone's dying to get in!","12/06/1970","[28, 35, 37]"
"76","Distracted",0,"False",0,"fr",3.371,85,"5.9",60,62675,"","09/12/1970","[35]"
"77","My Lover, My Son",0,"False",0,"en",3.379,96,"4",2,4373,"","13/05/1970","[]"
"78","On a Clear Day You Can See Forever",0,"False",0,"en",2.595,129,"6.4",26,38222,"Look into my eyes.","17/06/1970","[28, 18, 10751, 10749]"
"79","Hi, Mom!",0,"False",0,"en",3.591,87,"6.1",51,42589,"God bless our humble upper-middle-class high-rise co-op and keep it free from smut peddlers, militants, urban guerrillas and Greenwich Village liberals.","27/04/1970","[35, 18]"
"80","The Molly Maguires",2200000,"False",11000000,"en",3.018,124,"6.3",32,42345,"","27/01/1970","[18, 36]"
"81","Husbands",0,"False",1000000,"en",3.998,131,"6.5",48,52105,"A comedy about life, death and freedom","01/12/1970","[35, 18]"
"82","Many Wars Ago",0,"False",97,"it",3.795,101,"7.2",58,78101,"","16/09/1970","[18, 10752]"
"83","Josefine Mutzenbacher",0,"False",0,"de",3.454,89,"5",5,222953,"She is Frank...Exciting...Immoral...She is Woman!","20/08/1970","[]"
"84","Mark of the Devil",0,"False",0,"de",3.483,96,"6.1",31,39931,"Positively the most horrifying film ever made","19/02/1970","[27, 18, 36, 53]"
"85","Cry of the Banshee",0,"False",500000,"en",3.682,91,"5.3",21,22033,"Hell hath no fury like a sorceress scorned!","22/07/1970","[27]"
"86","Cotton Comes to Harlem",0,"False",1200000,"en",3.984,97,"6.7",23,59917,"Introducing COFFIN ED and GRAVEDIGGER. Two detectives only a mother could love.","27/05/1970","[28, 35, 80]"
"87","The Railway Children",0,"False",0,"en",3.801,109,"6.8",42,37662,"The Railway, the Children . . . and the wonderful secret they'll share with you !","21/12/1970","[35, 18, 10751]"
"88","The Confession",0,"False",0,"fr",5.044,139,"7.2",46,60859,"","29/04/1970","[18]"
"89","The Boys in the Band",0,"False",0,"en",2.43,118,"7.3",30,34377,"Extraordinary. Groundbreaking. Controversial.","16/03/1970","[18]"
"90","The Wizard of Gore",0,"False",60000,"en",3.1,95,"5",44,23506,"Is It Magic? Or Wholesale Slaughter?","23/10/1970","[27]"
"91","Count Yorga, Vampire",0,"False",64000,"en",4.008,93,"5.8",16,28733,"Dashing, Dark and Deadly.","10/06/1970","[27]"
"92","House of Dark Shadows",0,"False",750000,"en",3.552,97,"6.4",26,71943,"Come see how the vampires do it","09/09/1970","[18, 27, 53]"
"93","Jungle Erotic",0,"False",0,"en",4.83,90,"3.3",6,106678,"A Happening in Africa","01/11/1970","[12, 18]"
"94","Your Child, That Unknown Creature",0,"False",0,"de",3.297,93,"4",1,227673,"","30/09/1970","[99]"
"95","The Owl and the Pussycat",0,"False",0,"en",3.418,95,"6.5",22,42597,"it's no longer a story for children.","01/01/1970","[35, 10749]"
"96","The White Sun of the Desert",0,"False",0,"ru",4.739,83,"7.5",64,20848,"","30/03/1970","[28, 12, 35, 18, 37]"
"97","Adios Sabata",0,"False",0,"it",4.255,104,"6.2",25,71206,"Sabata Aims to Kill","30/09/1970","[28, 37, 10752]"
"98","Dodes'ka-den",0,"False",0,"ja",4.689,140,"7.2",52,33205,"","01/10/1970","[18]"
"99","You Can't Win 'Em All",0,"False",0,"en",4.421,97,"6.4",14,161460,"","23/07/1970","[10752, 12, 35]"
"100","Five Dolls for an August Moon",0,"False",0,"it",4.676,82,"5.4",47,28051,"","03/03/1970","[27, 9648, 53]"
"101","Eugenie",0,"False",0,"en",3.844,87,"3.9",20,87503,"...the story of her journey into perversion","20/02/1970","[18, 27]"
"102","Companeros",0,"False",0,"it",3.064,118,"6.6",45,61044,"","18/12/1970","[28, 35, 37]"
"103","Start the Revolution Without Me",0,"False",0,"en",2.531,90,"6",18,19753,"Gene Wilder... wilder than ever!","14/08/1970","[35, 36]"
"104","How I Unleashed World War II Part I: The Escape",0,"False",0,"pl",3.46,86,"7.5",24,75011,"","02/04/1970","[12, 35, 10752]"
"105","The Horror of Frankenstein",0,"False",0,"en",4.561,95,"5.8",28,3145,"","08/11/1970","[27, 878]"
"106","I Drink Your Blood",0,"False",0,"en",3.288,90,"6.4",35,27313,"","01/01/1970","[27]"
"107","The Out of Towners",0,"False",0,"en",4.085,98,"7",45,20444,"When they take you for an out-of-towner, they really take you.","28/05/1970","[35]"
"108","Myra Breckinridge",3e+06,"False",5000000,"en",3.459,94,"4.8",16,40973,"Everything you heard about Myra Breckinridge is true.","24/06/1970","[35, 18]"
"109","Julius Caesar",0,"False",0,"en",2.146,117,"5.7",14,42592,"","04/06/1970","[18, 36, 10752]"
"110","The Man Who Haunted Himself",0,"False",525497,"en",3.774,88,"6.4",35,4910,"Stalked by fear and terror… night and day!","17/09/1970","[18, 53]"
"111","Equinox",0,"False",0,"en",3.004,80,"5.3",26,28681,"Occult Barrier Between Good and Evil","01/10/1970","[12, 27]"
"112","Multiple Maniacs",0,"False",5000,"en",3.203,97,"6.5",41,25625,"You won't believe this one!","10/04/1970","[35, 80, 27]"
"113","Carry On Up the Jungle",0,"False",0,"en",4.372,89,"6.5",30,17276,"A safari of laughs with the Carry On Gang!","03/01/1970","[35]"
"114","Bedroom Mazurka",0,"False",0,"da",2.366,92,"5.4",5,24943,"","30/08/1970","[35]"
"115","Pippi on the Run",0,"False",0,"sv",3.754,94,"6.7",43,11626,"","14/11/1970","[10751]"
"116","Atlantic Wall",0,"False",0,"fr",3.93,107,"6.5",49,61231,"","14/10/1970","[12, 35, 10752]"
"117","Monte Walsh",0,"False",5000000,"en",2.839,106,"6.1",21,71244,"Monte Walsh is what the West was all about.","02/10/1970","[37]"
"118","The Vampire Doll",0,"False",0,"ja",2.654,85,"7.2",15,115018,"The curse of an undead beauty who has risen, weeping in her search for fresh blood...","04/07/1970","[27]"
"119","Zatoichi Meets Yojimbo",0,"False",0,"ja",3.318,115,"7.2",29,42601,"","15/01/1970","[28, 12, 18]"
"120","A Drama of Jealousy (And Other Things)",0,"False",0,"it",3.637,105,"7",48,56366,"","30/04/1970","[35, 18]"
"121","Wuthering Heights",0,"False",0,"en",4.045,104,"6.7",20,98491,"","09/06/1970","[18, 10749]"
"122","Elvis: That's the Way It Is",0,"False",0,"en",2.075,109,"7.5",21,31151,"","11/11/1970","[99, 10402]"
"123","Brewster McCloud",0,"False",0,"en",2.807,105,"6.4",29,26525,"THIS MAY BE OVER YOUR HEAD.","05/12/1970","[35, 14]"
"124","7 Plus Seven",0,"False",0,"en",2.756,52,"7.6",44,50754,"Give me a child until he is seven and I will give you the man","15/12/1970","[99]"
"125","Blind Woman's Curse",0,"False",0,"ja",3.68,85,"6.5",25,70412,"","20/06/1970","[28, 80, 18, 27]"
"126","Trash",0,"False",0,"en",2.629,110,"5.6",15,89199,"","05/10/1970","[18]"
"127","There's a Girl in My Soup",0,"False",0,"en",2.927,95,"5.8",25,42599,"Soup's on!","15/12/1970","[35, 10749]"
"128","Lola",0,"False",0,"en",2.943,98,"5.6",9,77925,"It may be love... but it's definitely exhausting!","06/01/1970","[18, 10749, 35]"
"129","Getting Straight",13300000,"False",0,"en",3.161,124,"6.1",8,42588,"America's children lay it on the line.","13/05/1970","[35, 18]"
"130","Quiet Days in Clichy",0,"False",0,"da",2.061,80,"4.7",13,62759,"","01/06/1970","[35, 18]"
"131","Stray Cat Rock: Delinquent Girl Boss",0,"False",0,"ja",2.34,81,"5.9",14,64576,"","02/05/1970","[18, 80, 53, 28, 10402]"
"132","Karlson Returns",0,"False",0,"en",3.903,20,"7.1",39,72203,"","01/01/1970","[12, 16, 10751]"
"133","Every Home Should Have One",0,"False",0,"en",2.216,94,"5.8",10,254298,"Think Dirty ... No Inhibition Think Dirty ... No Frustration Think Dirty ... You're Better Off!","05/03/1970","[35]"
"134","Cold Sweat",0,"False",0,"en",3.326,94,"5.8",22,42358,"Bronson and Mason play a high stakes game of cat and mouse . . . and only one man can walk away the winner","18/12/1970","[28, 53]"
"135","When Women Had Tails",0,"False",0,"it",3.055,105,"4.8",13,64961,"","16/12/1970","[35, 14, 878]"
"136","Darling Lili",0,"False",0,"en",2.333,107,"5.1",14,42586,"She gave away secrets to one side and her heart to the other","24/06/1970","[18, 35, 53, 10402, 10749]"
"137","The Lickerish Quartet",0,"False",0,"en",2.951,90,"5.3",18,70422,"Body to body is the name of the game","13/10/1970","[18, 10749]"
"138","The Nude Vampire",0,"False",0,"en",1.624,81,"5.1",12,22480,"","01/05/1970","[27, 878]"
"139","Rider on the Rain",0,"False",0,"fr",3.742,120,"6.5",28,27889,"Who will he terrorise... Who will he attack... Who will be his next victim ?","21/01/1970","[80, 53]"
"140","The Spider's Stratagem",0,"False",0,"it",2.21,100,"7.5",27,42595,"","25/10/1970","[18, 9648]"
"141","Even Dwarfs Started Small",0,"False",200000,"de",2.117,96,"6.5",49,11900,"","16/09/1970","[35, 18]"
"142","Joe",19319254,"False",106000,"en",2.406,107,"6.4",17,46691,"Keep America Beautiful","15/07/1970","[18, 53]"
"143","Crimes of the Future",0,"False",0,"en",2.425,70,"5.1",26,27371,"","01/08/1970","[35, 878]"
"144","Schoolgirl Report Part 1: What Parents Don't Think Is Possible",0,"False",0,"de",1.913,90,"4.4",9,36888,"","23/10/1970","[18]"
"145","Μια τρελλή... τρελλή σαραντάρα",0,"False",0,"el",2.263,88,"5.8",4,365786,"","13/04/1970","[10749, 35]"
"146","Diary of a Mad Housewife",0,"False",0,"en",3.441,95,"6.3",10,31677,"I, Tina Balser, Housewife, Did Not Do My Chores Today. I Did...Something Else!","01/01/1970","[35, 18]"
"147","Hatchet for the Honeymoon",0,"False",0,"it",3.58,83,"6.6",42,28050,"When you chop - Aim well! Don't slip! And just make sure - She doesn't drip!","02/06/1970","[27, 9648]"
"148","Sole Survivor",0,"False",0,"en",3.023,100,"6.2",13,54588,"","09/01/1970","[10770, 18, 14]"
"149","How I Unleashed World War II Part II: Following The Arms",0,"False",0,"pl",2.312,72,"7.4",31,16238,"","03/04/1970","[12, 35, 10752]"
"150","Little Fauss and Big Halsy",0,"False",0,"en",2.21,99,"6",11,44721,"Little Fauss and Big Halsy are not your father's heroes","21/10/1970","[18]"
"151","Entertaining Mr. Sloane",0,"False",0,"en",2.959,94,"5.8",11,122268,"","08/04/1970","[35, 18]"
"152","Lovers and Other Strangers",0,"False",0,"en",2.868,104,"5.4",8,42593,"","12/08/1970","[35, 18, 10749]"
"153","Alex in Wonderland",0,"False",0,"en",2.056,110,"6.5",6,32599,"","01/01/1970","[35, 18]"
"154","No Blade of Grass",0,"False",0,"en",2.569,96,"6.1",15,21886,"The creeping terror drifted towards them stamping out all civilization in its eerie path!","23/10/1970","[18, 878]"
"155","Gas-s-s-s!",0,"False",0,"en",3.039,79,"5",14,85224,"Invite a few friends over to watch the end of the world!","04/09/1970","[35, 18, 878]"
"156","Pussycat, Pussycat, I Love You",0,"False",0,"en",2.105,NA,"5.4",8,140638,"","25/03/1970","[35]"
"157","The Machine of Eden",0,"False",0,"en",3.161,14,"5.2",10,144943,"","23/09/1970","[]"
"158","The Losers",0,"False",0,"en",2.253,95,"5.6",5,121901,"The Army Handed Them Guns...And A License To Kill!","08/06/1970","[28, 53]"
"159","Puzzle of a Downfall Child",0,"False",0,"en",2.27,105,"7.1",14,92937,"","16/12/1970","[18]"
"160","The Breach",0,"False",0,"fr",1.396,124,"6.2",14,4266,"","26/08/1970","[53]"
"161","A Clockwork Orange",26589000,"False",2200000,"en",20.022,136,"8.2",7789,185,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.","18/12/1971","[18, 878]"
"162","Diamonds Are Forever",116019547,"False",7200000,"en",18.474,120,"6.4",1060,681,"The man who made 007 a household number","13/12/1971","[28, 12, 53]"
"163","Willy Wonka & the Chocolate Factory",4e+06,"False",3000000,"en",12.36,100,"7.5",1878,252,"It's Scrumdidilyumptious!","29/06/1971","[35, 14, 10751]"
"164","Dirty Harry",35976000,"False",10000000,"en",12.946,102,"7.5",1201,984,"Detective Harry Callahan. He doesn't break murder cases. He smashes them.","21/12/1971","[28, 80, 53]"
"165","Straw Dogs",3251794,"False",2200000,"en",13.767,116,"7.2",459,994,"Sometimes a man is forced to defend his honor.","23/12/1971","[80, 18, 53]"
"166","Trinity Is Still My Name",2100000,"False",0,"it",11.75,117,"7.5",458,11829,"Trinity's back in the saddle again and still horsing around","21/10/1971","[35, 37]"
"167","Duel",0,"False",450000,"en",10.946,90,"7.4",897,839,"The most bizarre murder weapon ever used!","25/12/1971","[28, 53, 10770]"
"168","Murmur of the Heart",0,"False",0,"fr",11.195,118,"7.1",64,42501,"A souffle of a movie!","27/04/1971","[35, 18, 10749]"
"169","The French Connection",41158757,"False",1800000,"en",12.26,104,"7.6",874,1051,"There are no rules and no holds barred when Popeye cuts loose!","09/10/1971","[28, 80, 53]"
"170","Escape from the Planet of the Apes",12348905,"False",2500000,"en",11.99,98,"6.4",504,1687,"Meet baby Milo who has Washington terrified.","20/05/1971","[28, 878]"
"171","The Big Boss",0,"False",100000,"zh",9.951,100,"7.3",328,12481,"Every limb of his body is a lethal weapon!!!","02/10/1971","[28]"
"172","Duck, You Sucker",0,"False",0,"it",7.343,157,"7.8",489,336,"Rod Steiger and James Coburn will blow you apart in","20/10/1971","[37]"
"173","The Andromeda Strain",12376563,"False",6500000,"en",11.841,131,"7",325,10514,"","12/03/1971","[878, 53]"
"174","Big Jake",0,"False",0,"en",12.485,110,"7",98,21717,"They wanted gold. They gave them lead instead!","26/05/1971","[37]"
"175","The Decameron",0,"False",0,"it",10.819,112,"7.1",134,33583,"Ribaldry! Rakes and libertines. Raised skirts and lowered lashes. A blush on every cheek. Pasolini. Filming The Decameron. Bringing life to art...and art to life.","01/01/1971","[35, 18, 36]"
"176","Harold and Maude",0,"False",1200000,"en",12.214,91,"7.7",537,343,"They were meant to be. But exactly what they were meant to be is not quite clear.","20/12/1971","[35, 18, 10749]"
"177","Macbeth",0,"False",3100000,"en",7.041,141,"6.9",136,11316,"","20/12/1971","[10752, 18]"
"178","McCabe & Mrs. Miller",0,"False",0,"en",7.776,120,"7.2",183,29005,"Name your poison","24/06/1971","[37]"
"179","Death in Venice",0,"False",2,"it",6.962,130,"7.3",193,6619,"The celebrated story of a man obsessed by ideal beauty","01/03/1971","[18]"
"180","Red Sun",0,"False",0,"fr",9.203,114,"6.9",103,11842,"The greatest fighting machine the West has ever known.","15/09/1971","[37]"
"181","Klute",12512637,"False",2500000,"en",8.438,114,"6.8",161,466,"You'd never take her for a call girl. You'd never take him for a cop.","21/06/1971","[9648, 53]"
"182","Vanishing Point",72266306,"False",1300000,"en",7.414,99,"7.2",223,11951,"It's the maximum trip... at maximum speed.","15/01/1971","[28, 18]"
"183","The Panic in Needle Park",0,"False",1645000,"en",6.663,110,"6.8",141,27554,"God help Bobby and Helen, they're in love in Needle Park","13/07/1971","[18, 10749]"
"184","Get Carter",0,"False",1814462,"en",7.636,112,"7.1",220,1485,"","03/03/1971","[80, 53]"
"185","Two-Lane Blacktop",0,"False",850000,"en",8.385,102,"7",110,27236,"You can never go fast enough...","07/07/1971","[18]"
"186","Bedknobs and Broomsticks",17900000,"False",20000000,"en",8.099,117,"7",579,12335,"You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!","07/10/1971","[12, 14, 35, 10751, 10402]"
"187","Shaft",12121618,"False",4000000,"en",6.568,100,"6.6",148,482,"The mob wanted Harlem back. They got shaft...up to here.","02/07/1971","[12, 28, 53, 80]"
"188","Play Misty for Me",10600000,"False",725000,"en",7.555,102,"6.7",186,15393,"The scream you hear may be your own!","03/11/1971","[80, 18, 10749, 53]"
"189","A Bay of Blood",0,"False",0,"it",7.049,85,"6.6",159,5486,"They came to play, they stayed to die.","08/09/1971","[27, 53]"
"190","Fiddler on the Roof",83304330,"False",9000000,"en",9.785,181,"7.7",257,14811,"To Life!","03/11/1971","[18, 10749]"
"191","Gentlemen of Fortune",0,"False",0,"ru",5.54,88,"7.8",103,20871,"","13/12/1971","[35, 80, 18]"
"192","THX 1138",2437000,"False",777000,"en",9.626,86,"6.6",474,636,"Visit the future where love is the ultimate crime.","11/03/1971","[18, 9648, 878]"
"193","Le Mans",0,"False",0,"en",6.742,104,"7",99,5920,"Steve McQueen takes you for a drive in the country. The country is France. The drive is at 200 MPH!","23/06/1971","[28, 18]"
"194","Delusions of Grandeur",0,"False",0,"fr",7.263,108,"7.6",356,14257,"","01/04/1971","[35, 36]"
"195","The Omega Man",0,"False",0,"en",9.145,98,"6.2",258,11234,"The World Is Dead. One Survivor. Then The Others. Crawling In Darkness. The Strangest Sect Of All. *Hunting The Last Man On Earth.*","01/08/1971","[28, 18, 878, 53]"
