"","id","film","revenue","budget","language","popularity","runtime","vote.average","vote.count","tagline","release.date","genres","certification","gender","actor.name"
"37",42594,"Scream and Scream Again",0,0,"en",4.57,95,5.4,49,"TRIPLE DISTILLED HORROR... as powerful as a vat of boiling ACID!","1970-02-13","[80, 27]","PG",2,"Christopher Lee"
"38",26606,"Performance",0,0,"en",6.538,106,7.1,82,"See them all in a film about fantasy. And reality. Vice. And versa.","1970-08-03","[80, 18, 10402]","R",2,"Mick Jagger"
"39",29748,"Taste the Blood of Dracula",0,0,"en",5.039,95,6.1,69,"DRINK A PINT OF BLOOD A DAY","1970-05-07","[27]","R",2,"Geoffrey Keen"
"40",23330,"The Ballad of Cable Hogue",5e+06,3716946,"en",5.261,121,7.1,93,"Cable Hogue says … “Do unto others … as you would have others do unto you.”","1970-05-13","[28, 35, 37]","R",1,"Stella Stevens"
"41",185,"A Clockwork Orange",26589000,2200000,"en",17.707,136,8.2,7821,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.","1971-12-18","[18, 878]","R",2,"Patrick Magee"
"42",681,"Diamonds Are Forever",116019547,7200000,"en",15.988,120,6.4,1065,"The man who made 007 a household number","1971-12-13","[28, 12, 53]","PG",1,"Jill St. John"
"43",994,"Straw Dogs",3251794,2200000,"en",8.248,116,7.2,461,"Sometimes a man is forced to defend his honor.","1971-12-23","[80, 18, 53]","R",1,"Susan George"
"44",984,"Dirty Harry",35976000,10000000,"en",12.41,102,7.5,1207,"Detective Harry Callahan. He doesn't break murder cases. He smashes them.","1971-12-21","[28, 80, 53]","R",2,"Harry Guardino"
"45",21717,"Big Jake",0,0,"en",6.533,110,7,98,"They wanted gold. They gave them lead instead!","1971-05-26","[37]","PG-13",2,"Richard Boone"
"46",252,"Willy Wonka & the Chocolate Factory",4e+06,3000000,"en",13.982,100,7.5,1887,"It's Scrumdidilyumptious!","1971-06-29","[35, 14, 10751]","G",0,"Jack Albertson"
"47",1051,"The French Connection",41158757,1800000,"en",9.32,104,7.6,879,"There are no rules and no holds barred when Popeye cuts loose!","1971-10-09","[28, 80, 53]","R",2,"Fernando Rey"
"48",343,"Harold and Maude",0,1200000,"en",10.079,91,7.7,539,"They were meant to be. But exactly what they were meant to be is not quite clear.","1971-12-20","[35, 18, 10749]","PG",2,"Bud Cort"
"49",1687,"Escape from the Planet of the Apes",12348905,2500000,"en",6.922,98,6.4,505,"Meet baby Milo who has Washington terrified.","1971-05-20","[28, 878]","G",1,"Kim Hunter"
"50",10514,"The Andromeda Strain",12376563,6500000,"en",8.73,131,7,325,"","1971-03-12","[878, 53]","G",2,"David Wayne"
"51",11829,"Trinity Is Still My Name",2100000,0,"it",12.142,117,7.5,462,"Trinity's back in the saddle again and still horsing around","1971-10-21","[35, 37]","PG",2,"Bud Spencer"
"52",42501,"Murmur of the Heart",0,0,"fr",9.086,118,7.1,65,"A souffle of a movie!","1971-04-27","[35, 18, 10749]","PG",0,"Benoît Ferreux"
"53",839,"Duel",0,450000,"en",7.646,90,7.4,902,"The most bizarre murder weapon ever used!","1971-12-25","[28, 53, 10770]","PG",1,"Jacqueline Scott"
"54",33583,"The Decameron",0,0,"it",9.883,112,7.1,134,"Ribaldry! Rakes and libertines. Raised skirts and lowered lashes. A blush on every cheek. Pasolini. Filming The Decameron. Bringing life to art...and art to life.","1971-01-01","[35, 18, 36]","R",2,"Ninetto Davoli"
"55",12481,"The Big Boss",0,100000,"zh",10.533,100,7.3,328,"Every limb of his body is a lethal weapon!!!","1971-10-02","[28]","R",1,"Maria Yi"
"56",14811,"Fiddler on the Roof",83304330,9000000,"en",6.933,181,7.7,257,"To Life!","1971-11-03","[18, 10749]","G",1,"Norma Crane"
"57",636,"THX 1138",2437000,777000,"en",8.202,86,6.6,475,"Visit the future where love is the ultimate crime.","1971-03-11","[18, 9648, 878]","R",2,"Donald Pleasence"
"58",11842,"Red Sun",0,0,"fr",6.836,114,6.9,103,"The greatest fighting machine the West has ever known.","1971-09-15","[37]","PG",1,"Ursula Andress"
"59",25188,"The Last Picture Show",29133000,1300000,"en",5.834,119,7.8,293,"Anarene, Texas, 1951. Nothing much has changed…","1971-10-03","[18]","R",2,"Jeff Bridges"
"60",11234,"The Omega Man",0,0,"en",8.933,98,6.2,259,"The World Is Dead. One Survivor. Then The Others. Crawling In Darkness. The Strangest Sect Of All. *Hunting The Last Man On Earth.*","1971-08-01","[28, 18, 878, 53]","PG",2,"Anthony Zerbe"
"61",466,"Klute",12512637,2500000,"en",8.451,114,6.8,161,"You'd never take her for a call girl. You'd never take him for a cop.","1971-06-23","[9648, 53]","R",2,"Donald Sutherland"
"62",27236,"Two-Lane Blacktop",0,850000,"en",7.574,102,7,110,"You can never go fast enough...","1971-07-07","[18]","R",2,"Warren Oates"
"63",12335,"Bedknobs and Broomsticks",17900000,20000000,"en",8.705,117,7,581,"You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!","1971-10-07","[12, 14, 35, 10751, 10402]","G",2,"David Tomlinson"
"64",9267,"And Now for Something Completely Different",7000,100000,"en",5.836,88,7.3,272,"If the Motion Picture Industry dies… Monty Python killed it!","1971-09-28","[35]","PG",2,"John Cleese"
"65",11302,"Bananas",11833696,2000000,"en",5.112,82,6.7,377,"","1971-04-28","[35]","PG-13",1,"Louise Lasser"
"66",29005,"McCabe & Mrs. Miller",0,0,"en",7.295,120,7.2,184,"Name your poison","1971-06-24","[37]","R",1,"Julie Christie"
"67",1485,"Get Carter",0,1814462,"en",6.462,112,7.1,220,"","1971-03-03","[80, 53]","R",2,"Ian Hendry"
"68",15393,"Play Misty for Me",10600000,725000,"en",7.534,102,6.7,187,"The scream you hear may be your own!","1971-11-03","[80, 18, 10749, 53]","R",1,"Jessica Walter"
