"","id","film","popularity","vote.average","vote.count","release.date","gender","year","gen1","genreF","pop1","name"
"53",839,"Duel",7.646,7.4,902,"1971-12-25",1,"1971","gm2","28",2.03418263527422,"Action"
"54",33583,"The Decameron",9.883,7.1,134,"1971-01-01",2,"1971","gm2","35",2.29081610939405,"Comedy"
"55",12481,"The Big Boss",10.533,7.3,328,"1971-10-02",1,"1971","gm2","28",2.3545131858544,"Action"
"56",14811,"Fiddler on the Roof",6.933,7.7,257,"1971-11-03",1,"1971","gm2","18",1.93629261996035,"Drama"
"57",636,"THX 1138",8.202,6.6,475,"1971-03-11",2,"1971","gm2","18",2.10437802696987,"Drama"
"58",11842,"Red Sun",6.836,6.9,103,"1971-09-15",1,"1971","gm2","37",1.92220276525334,"Western"
"59",25188,"The Last Picture Show",5.834,7.8,293,"1971-10-03",2,"1971","gm2","18",1.76370287144553,"Drama"
"60",11234,"The Omega Man",8.933,6.2,259,"1971-08-01",2,"1971","gm2","28",2.1897522847197,"Action"
"61",466,"Klute",8.451,6.8,161,"1971-06-23",2,"1971","gm2","9648",2.13428477756235,"Mystery"
"62",27236,"Two-Lane Blacktop",7.574,7,110,"1971-07-07",2,"1971","gm2","18",2.0247213294796,"Drama"
"63",12335,"Bedknobs and Broomsticks",8.705,7,581,"1971-10-07",2,"1971","gm2","12",2.16389757322015,"Adventure"
"64",9267,"And Now for Something Completely Different",5.836,7.3,272,"1971-09-28",2,"1971","gm2","35",1.76404563066054,"Comedy"
"65",11302,"Bananas",5.112,6.7,377,"1971-04-28",1,"1971","gm2","35",1.63159071707523,"Comedy"
"66",29005,"McCabe & Mrs. Miller",7.295,7.2,184,"1971-06-24",1,"1971","gm2","37",1.98718918197475,"Western"
"67",1485,"Get Carter",6.462,7.1,220,"1971-03-03",2,"1971","gm2","80",1.86593886740231,"Crime"
"68",15393,"Play Misty for Me",7.534,6.7,187,"1971-11-03",1,"1971","gm2","80",2.01942610926985,"Crime"
"69",31767,"The Devils",6.271,7.6,165,"1971-07-01",1,"1971","gm2","18",1.83593583156088,"Drama"
"70",11951,"Vanishing Point",5.698,7.2,224,"1971-01-15",2,"1971","gm2","28",1.74011523607572,"Action"
"71",336,"Duck, You Sucker",8.123,7.8,495,"1971-10-20",2,"1971","gm2","37",2.09469954406882,"Western"
"72",14257,"Delusions of Grandeur",6.835,7.6,358,"1971-04-01",2,"1971","gm2","35",1.92205647017591,"Comedy"
"73",31906,"The Beguiled",5.745,7.1,201,"1971-03-31",1,"1971","gm2","18",1.74832991130072,"Drama"
"74",27431,"The Cat o' Nine Tails",6.304,6.7,175,"1971-02-12",1,"1971","gm2","27",1.84118435255558,"Horror"
"75",5486,"A Bay of Blood",6.723,6.6,160,"1971-09-08",2,"1971","gm2","27",1.9055344834869,"Horror"
"76",11316,"Macbeth",6.983,6.9,138,"1971-12-20",1,"1971","gm2","10752",1.9434786238639,"War"
"77",30689,"Four Flies on Grey Velvet",4.719,6.5,160,"1971-12-17",1,"1971","gm2","80",1.55159691274425,"Crime"
"78",6619,"Death in Venice",5.512,7.3,196,"1971-03-01",2,"1971","gm2","18",1.70692753371136,"Drama"
"79",5920,"Le Mans",6.078,7,99,"1971-06-23",2,"1971","gm2","28",1.8046756944946,"Action"
"80",27554,"The Panic in Needle Park",6.227,6.8,142,"1971-06-01",1,"1971","gm2","18",1.82889467589032,"Drama"
"81",238,"The Godfather",24.264,8.7,11521,"1972-03-14",2,"1972","gm2","80",3.18899377038628,"Crime"
"82",1643,"Last Tango in Paris",8.442,7.1,631,"1972-10-14",1,"1972","gm2","18",2.13321924736031,"Drama"
"83",9462,"The Way of the Dragon",10.193,7.4,500,"1972-06-01",1,"1972","gm2","28",2.32170121018628,"Action"
"84",11713,"Fist of Fury",10.84,7.3,419,"1972-03-22",1,"1972","gm2","18",2.3832429960115,"Drama"
"85",593,"Solaris",11.517,7.9,774,"1972-03-20",0,"1972","gm2","18",2.44382420468677,"Drama"
"86",10238,"Cries and Whispers",7.828,8,291,"1972-12-21",1,"1972","gm2","18",2.05770704953383,"Drama"
"87",551,"The Poseidon Adventure",9.794,7.2,460,"1972-12-13",2,"1972","gm2","28",2.28176995328013,"Action"
"88",2000,"Aguirre, the Wrath of God",7.468,7.6,511,"1972-12-29",1,"1972","gm2","12",2.01062722567948,"Adventure"
"89",47094,"The Genesis Children",10.793,7,3,"1972-08-01",0,"1972","gm2","18",2.37889777584321,"Drama"
"90",10784,"Cabaret",8.052,7.5,479,"1972-02-13",2,"1972","gm2","18",2.08592050777755,"Drama"
"91",993,"Sleuth",7.626,7.7,287,"1972-12-10",2,"1972","gm2","80",2.03156346143537,"Crime"
"92",15516,"The Last House on the Left",7.654,6.1,307,"1972-08-30",1,"1972","gm2","27",2.03522838700351,"Horror"
"93",10669,"Deliverance",6.938,7.3,830,"1972-07-30",2,"1972","gm2","18",1.93701354854756,"Drama"
"94",11624,"Everything You Always Wanted to Know About Sex *But Were Afraid to Ask",7.497,6.6,505,"1972-08-06",2,"1972","gm2","35",2.01450294052092,"Comedy"
"95",573,"Frenzy",7.15,7.1,378,"1972-05-25",2,"1972","gm2","80",1.96711235670592,"Crime"
"96",4593,"The Discreet Charm of the Bourgeoisie",7.312,7.7,352,"1972-09-15",1,"1972","gm2","35",1.98951683415185,"Comedy"
"97",1688,"Conquest of the Planet of the Apes",7.425,6.2,426,"1972-06-29",2,"1972","gm2","28",2.00485268468876,"Action"
"98",5916,"The Getaway",6.101,7.1,252,"1972-09-20",1,"1972","gm2","28",1.80845269216972,"Action"
"99",11943,"Jeremiah Johnson",8.346,7.4,287,"1972-09-10",2,"1972","gm2","12",2.12178238216936,"Adventure"
"100",12593,"Fritz the Cat",11.562,6.2,133,"1972-04-12",1,"1972","gm2","16",2.44772385866028,"Animation"
"101",5691,"The Canterbury Tales",5.678,6.3,87,"1972-07-01",2,"1972","gm2","35",1.73659905805078,"Comedy"
"102",811,"Silent Running",6.886,6.3,295,"1972-03-09",2,"1972","gm2","12",1.92949036491633,"Adventure"
"103",32613,"Horror Express",7.706,6.4,119,"1972-09-30",2,"1972","gm2","27",2.04199924620397,"Horror"
"104",12089,"The Tall Blond Man with One Black Shoe",5.725,6.9,201,"1972-12-06",2,"1972","gm2","35",1.7448425494403,"Comedy"
"105",10310,"The Bitter Tears of Petra von Kant",5.058,7.4,81,"1972-10-05",1,"1972","gm2","18",1.62097114824777,"Drama"
"106",11610,"Play It Again, Sam",5.583,7.6,309,"1972-05-04",1,"1972","gm2","35",1.71972626632822,"Comedy"
"107",19403,"The Mechanic",7.694,6.9,121,"1972-10-06",2,"1972","gm2","28",2.0404408043301,"Action"
"108",14881,"Joe Kidd",8.927,6.4,155,"1972-07-14",2,"1972","gm2","37",2.18908039219723,"Western"
"109",22784,"Boxcar Bertha",5.635,6.1,90,"1972-06-14",2,"1972","gm2","80",1.72899714749174,"Crime"
"110",38939,"Tales from the Crypt",6.457,6.9,114,"1972-03-09",2,"1972","gm2","27",1.86516481364433,"Horror"
"111",30566,"Blacula",4.067,5.6,73,"1972-08-25",1,"1972","gm2","14",1.40290562692509,"Fantasy"
"112",12530,"Avanti!",6.45,7,103,"1972-12-17",1,"1972","gm2","35",1.86408013080768,"Comedy"
"113",692,"Pink Flamingos",6.61,6.5,233,"1972-03-12",0,"1972","gm2","35",1.88858365386359,"Comedy"
"114",6949,"What's Up, Doc?",5.659,7.3,141,"1972-03-09",2,"1972","gm2","35",1.73324719816039,"Comedy"
"115",49361,"Don't Torture a Duckling",5.351,7.6,174,"1972-09-29",1,"1972","gm2","27",1.67728345932917,"Horror"
"116",1721,"All the Way Boys",6.32,6.7,201,"1972-12-22",2,"1972","gm2","28",1.84371920815877,"Action"
"117",41471,"Lone Wolf and Cub: Sword of Vengeance",4.907,7.5,79,"1972-01-15",2,"1972","gm2","18",1.59066275710777,"Drama"
"118",25993,"Asylum",5.425,6,62,"1972-11-17",2,"1972","gm2","27",1.69101789942652,"Horror"
"119",58451,"The Adventures of Pinocchio",5.578,7.5,171,"1972-12-21",0,"1972","gm2","18",1.7188302892053,"Drama"
"120",15573,"The Cowboys",5.38,7.1,116,"1972-01-13",2,"1972","gm2","28",1.68268837417369,"Action"
"121",253,"Live and Let Die",14.426,6.5,1020,"1973-07-05",2,"1973","gm2","12",2.66903213408148,"Adventure"
"122",9552,"The Exorcist",19.284,7.6,4464,"1973-12-26",2,"1973","gm2","27",2.95927573654338,"Horror"
"123",11886,"Robin Hood",14.769,7.3,2738,"1973-11-08",0,"1973","gm2","16",2.69253038944417,"Animation"
"124",9461,"Enter the Dragon",10.819,7.4,926,"1973-08-17",1,"1973","gm2","28",2.38130384770544,"Action"
"125",9277,"The Sting",13.632,8.1,1285,"1973-12-25",2,"1973","gm2","35",2.61241997008696,"Comedy"
"126",10648,"Magnum Force",9.586,7.2,502,"1973-12-23",2,"1973","gm2","28",2.26030370073744,"Action"
"127",16307,"The Wicker Man",9.008,7.3,607,"1973-12-01",2,"1973","gm2","27",2.19811307139733,"Horror"
"128",838,"American Graffiti",8.992,7.1,737,"1973-08-01",2,"1973","gm2","35",2.19633529315134,"Comedy"
"129",7857,"Amarcord",7.515,8,499,"1973-12-13",2,"1973","gm2","35",2.01690102320494,"Comedy"
"130",9040,"Serpico",8.466,7.6,941,"1973-12-05",NA,"1973","gm2","80",2.13605814209873,"Crime"
"131",203,"Mean Streets",7.101,7.2,1051,"1973-10-02",2,"1973","gm2","80",1.96023561919996,"Crime"
"132",11901,"High Plains Drifter",9.599,7.5,539,"1973-04-19",1,"1973","gm2","37",2.2616589263814,"Western"
"133",2362,"Westworld",8.741,6.7,682,"1973-11-21",2,"1973","gm2","28",2.16802459959835,"Action"
"134",80295,"14 and Under",11.831,6.4,15,"1973-08-16",1,"1973","gm2","35",2.47072320527153,"Comedy"
"135",12101,"Soylent Green",9.064,6.9,583,"1973-04-19",1,"1973","gm2","878",2.20431052372571,"Science Fiction"
"136",1705,"Battle for the Planet of the Apes",7.338,5.7,415,"1973-06-15",1,"1973","gm2","28",1.99306632593309,"Action"
"137",931,"Don't Look Now",7.951,7,421,"1973-12-03",2,"1973","gm2","18",2.07329770691935,"Drama"
"138",11293,"Paper Moon",6.226,7.9,327,"1973-05-09",1,"1973","gm2","35",1.82873407201942,"Comedy"
"139",2926,"The Three Musketeers",8.395,7,145,"1973-12-11",2,"1973","gm2","28",2.1276362905295,"Action"
"140",8327,"The Holy Mountain",7.104,7.9,398,"1973-05-01",0,"1973","gm2","18",1.96065800568987,"Drama"
"141",3133,"Badlands",8.32,7.6,617,"1973-10-15",1,"1973","gm2","80",2.11866225483312,"Crime"
"142",15018,"Thriller: A Cruel Picture",6.716,6.6,96,"1973-05-01",0,"1973","gm2","27",1.90449273921529,"Horror"
"143",4909,"The Day of the Jackal",7.577,7.6,263,"1973-05-15",2,"1973","gm2","28",2.02511734294924,"Action"
"144",5924,"Papillon",10.653,8,971,"1973-12-13",2,"1973","gm2","80",2.36584154262906,"Crime"
"145",8703,"Three Wishes for Cinderella",7.322,7.8,182,"1973-11-16",2,"1973","gm2","12",1.99088351469804,"Adventure"
"146",15171,"Charlotte's Web",9.216,6.6,203,"1973-03-01",2,"1973","gm2","16",2.22094110395354,"Animation"
"147",9474,"My Name Is Nobody",8.396,7.3,487,"1973-12-13",2,"1973","gm2","35",2.12775540195839,"Comedy"
"148",11561,"Sleeper",5.223,7.1,438,"1973-12-17",1,"1973","gm2","35",1.65307194945416,"Comedy"
"149",11577,"Pat Garrett & Billy the Kid",7.453,7.2,164,"1973-05-23",2,"1973","gm2","37",2.00861663589956,"Western"
"150",44741,"Malicious",8.022,6.3,54,"1973-03-29",0,"1973","gm2","35",2.08218776734786,"Comedy"
"151",1675,"Day for Night",6.836,7.9,266,"1973-05-24",2,"1973","gm2","35",1.92220276525334,"Comedy"
"152",760,"The Mad Adventures of Rabbi Jacob",8.317,7.3,536,"1973-10-17",1,"1973","gm2","35",2.11830161288655,"Comedy"
"153",16306,"Fantastic Planet",8.349,7.7,345,"1973-12-01",0,"1973","gm2","16",2.12214177121186,"Animation"
"154",12545,"Jesus Christ Superstar",7.405,7.1,311,"1973-08-15",2,"1973","gm2","18",2.00215544771976,"Drama"
"155",1847,"The Long Goodbye",6.894,7.5,264,"1973-03-07",1,"1973","gm2","53",1.93065146809467,"Thriller"
"156",17897,"The Golden Voyage of Sinbad",6.676,6.6,102,"1973-12-20",1,"1973","gm2","28",1.89851900579959,"Action"
"157",46581,"Immoral Tales",6.459,5.5,68,"1973-11-01",2,"1973","gm2","18",1.86547450705034,"Drama"
"158",20803,"Ivan Vasilyevich Changes His Profession",7.899,8,159,"1973-09-17",2,"1973","gm2","35",2.06673616918228,"Comedy"
"159",27331,"Charley Varrick",6.132,7.3,107,"1973-09-19",2,"1973","gm2","80",1.81352096100957,"Crime"
"160",10236,"The Way We Were",6.833,7,225,"1973-10-17",2,"1973","gm2","18",1.92176381579864,"Drama"
"161",682,"The Man with the Golden Gun",17.248,6.5,1022,"1974-12-01",2,"1974","gm2","28",2.84769619472659,"Action"
"162",240,"The Godfather: Part II",17.026,8.5,6773,"1974-12-20",2,"1974","gm2","80",2.83474158746187,"Crime"
"163",24402,"Emmanuelle",13.654,5.1,143,"1974-06-25",2,"1974","gm2","18",2.61403251899609,"Drama"
"164",829,"Chinatown",12.681,7.9,2063,"1974-06-20",1,"1974","gm2","80",2.54010481025276,"Crime"
"165",11072,"Blazing Saddles",12.336,7.3,1050,"1974-02-07",2,"1974","gm2","35",2.51252181682097,"Comedy"
"166",5919,"The Towering Inferno",7.383,7.1,456,"1974-12-14",2,"1974","gm2","28",1.99918006007703,"Action"
"167",3034,"Young Frankenstein",13.288,7.9,1876,"1974-12-15",2,"1974","gm2","35",2.58686137231099,"Comedy"
"168",4176,"Murder on the Orient Express",9.172,7.1,669,"1974-11-22",1,"1974","gm2","18",2.21615536499566,"Drama"
"169",13939,"Death Wish",6.818,6.9,362,"1974-07-24",1,"1974","gm2","28",1.91956617371571,"Action"
"170",30497,"The Texas Chain Saw Massacre",11.941,7.3,1473,"1974-10-01",2,"1974","gm2","27",2.47997785655125,"Horror"
"171",16153,"Alice Doesn't Live Here Anymore",8.12,6.9,203,"1974-12-09",2,"1974","gm2","35",2.09433015417359,"Comedy"
"172",6916,"Watch Out, We're Mad",6.716,7.5,427,"1974-03-29",2,"1974","gm2","28",1.90449273921529,"Action"
"173",592,"The Conversation",7.959,7.6,775,"1974-04-07",2,"1974","gm2","80",2.07430336382371,"Crime"
"174",4031,"Going Places",7.601,7,188,"1974-05-12",2,"1974","gm2","35",2.0282798175839,"Comedy"
"175",16938,"Black Christmas",5.536,6.9,314,"1974-10-11",2,"1974","gm2","27",1.71127221831537,"Horror"
"176",47406,"Arabian Nights",6.794,6.9,83,"1974-06-20",2,"1974","gm2","18",1.91603986973839,"Drama"
"177",8348,"Thunderbolt and Lightfoot",6.097,6.8,221,"1974-05-23",2,"1974","gm2","35",1.80779684692568,"Comedy"
"178",27932,"Airport 1975",7.633,5.7,123,"1974-10-18",1,"1974","gm2","28",2.03248095281633,"Action"
